KEY_benef_loc,match_score,KEY_inegi_localidad
la union de isidoro montes de oca-las palmitas,100,la union de isidoro montes de oca-las palmitas
martir de cuilapan-apango,100,martir de cuilapan-apango
teloloapan-cerro alto,100,teloloapan-cerro alto
san miguel totolapan-la mesa (las mesas),100,san miguel totolapan-la mesa (las mesas)
la union de isidoro montes de oca-las tinajas,100,la union de isidoro montes de oca-las tinajas
atenango del rio-tequicuilco,100,atenango del rio-tequicuilco
pilcaya-cacahuamilpa,100,pilcaya-cacahuamilpa
copanatoyac-santa cruz,100,copanatoyac-santa cruz
acapulco de juarez-acapulco de juarez,100,acapulco de juarez-acapulco de juarez
arcelia-santo tomas,100,arcelia-santo tomas
tlapehuala-santo nino (santo nino de atocha),100,tlapehuala-santo nino (santo nino de atocha)
coyuca de catalan-amuco de la reforma,100,coyuca de catalan-amuco de la reforma
alcozauca de guerrero-cuyuxtlahuac,100,alcozauca de guerrero-cuyuxtlahuac
xalpatlahuac-xalpatlahuac,100,xalpatlahuac-xalpatlahuac
eduardo neri-tlanipatla,100,eduardo neri-tlanipatla
general heliodoro castillo-puerto castro,100,general heliodoro castillo-puerto castro
azoyu-quetzalapa,100,azoyu-quetzalapa
atlamajalcingo del monte-santa cruz,100,atlamajalcingo del monte-santa cruz
coyuca de catalan-el puerto del oro,100,coyuca de catalan-el puerto del oro
azoyu-huehuetan,100,azoyu-huehuetan
acatepec-yerba santa,100,acatepec-yerba santa
cutzamala de pinzon-zacapuato (tepetates),100,cutzamala de pinzon-zacapuato (tepetates)
general heliodoro castillo-chapultepec,100,general heliodoro castillo-chapultepec
atlamajalcingo del monte-tepecocatlan,100,atlamajalcingo del monte-tepecocatlan
san marcos-monte alto,100,san marcos-monte alto
tecoanapa-san martin,100,tecoanapa-san martin
tetipac-bordo mora,100,tetipac-bordo mora
coahuayutla de jose maria izazaga-las habillas,100,coahuayutla de jose maria izazaga-las habillas
coahuayutla de jose maria izazaga-coahuayutla de guerrero,100,coahuayutla de jose maria izazaga-coahuayutla de guerrero
teloloapan-alpixafia,100,teloloapan-alpixafia
zihuatanejo de azueta-san jose ixtapa (barrio viejo),100,zihuatanejo de azueta-san jose ixtapa (barrio viejo)
teloloapan-acatlan de la cruz,100,teloloapan-acatlan de la cruz
quechultenango-loma larga,100,quechultenango-loma larga
zihuatanejo de azueta-vista hermosa,100,zihuatanejo de azueta-vista hermosa
tecoanapa-las crucitas,100,tecoanapa-las crucitas
san miguel totolapan-lomillos,100,san miguel totolapan-lomillos
tecoanapa-lagunillas,100,tecoanapa-lagunillas
san miguel totolapan-los cajones,100,san miguel totolapan-los cajones
teloloapan-ahuacatitlan,100,teloloapan-ahuacatitlan
san miguel totolapan-toro muerto,100,san miguel totolapan-toro muerto
general heliodoro castillo-tlacotepec,100,general heliodoro castillo-tlacotepec
san miguel totolapan-los laureles,100,san miguel totolapan-los laureles
san miguel totolapan-palos altos (palos altos dos),100,san miguel totolapan-palos altos (palos altos dos)
zihuatanejo de azueta-entronque a ixtapa,100,zihuatanejo de azueta-entronque a ixtapa
san luis acatlan-rio iguapa,100,san luis acatlan-rio iguapa
coyuca de catalan-coyuca de catalan,100,coyuca de catalan-coyuca de catalan
chilpancingo de los bravo-chilpancingo de los bravo,100,chilpancingo de los bravo-chilpancingo de los bravo
san miguel totolapan-la tinaja (santa cruz tinaja),100,san miguel totolapan-la tinaja (santa cruz tinaja)
teloloapan-tetzilacatlan,100,teloloapan-tetzilacatlan
martir de cuilapan-ahuexotitlan,100,martir de cuilapan-ahuexotitlan
leonardo bravo-tierra colorada,100,leonardo bravo-tierra colorada
tlalchapa-huaxquial,100,tlalchapa-huaxquial
eduardo neri-axaxacualco,100,eduardo neri-axaxacualco
malinaltepec-el rincon (santa cruz del rincon),100,malinaltepec-el rincon (santa cruz del rincon)
xochistlahuaca-los liros,100,xochistlahuaca-los liros
teloloapan-el ahuacatito (el aguacate),100,teloloapan-el ahuacatito (el aguacate)
iliatenco-arroyo san pedro,100,iliatenco-arroyo san pedro
teloloapan-el mirador,100,teloloapan-el mirador
tlapehuala-tiringueo,100,tlapehuala-tiringueo
olinala-zumpango,100,olinala-zumpango
ayutla de los libres-tlalapa,100,ayutla de los libres-tlalapa
copanatoyac-plan de san miguel,100,copanatoyac-plan de san miguel
san miguel totolapan-pandoloma,100,san miguel totolapan-pandoloma
tecoanapa-san francisco,100,tecoanapa-san francisco
chilpancingo de los bravo-chacualcingo,100,chilpancingo de los bravo-chacualcingo
chilapa de alvarez-lamazintla,100,chilapa de alvarez-lamazintla
cuajinicuilapa-cuajinicuilapa,100,cuajinicuilapa-cuajinicuilapa
atoyac de alvarez-atoyac de alvarez,100,atoyac de alvarez-atoyac de alvarez
zitlala-topiltepec,100,zitlala-topiltepec
olinala-san lazaro (tecojcosco),100,olinala-san lazaro (tecojcosco)
atlamajalcingo del monte-piedra blanca,100,atlamajalcingo del monte-piedra blanca
quechultenango-huehuecoyotla,100,quechultenango-huehuecoyotla
tixtla de guerrero-chilacachapa,100,tixtla de guerrero-chilacachapa
san miguel totolapan-campamento de vacas (el campamento),100,san miguel totolapan-campamento de vacas (el campamento)
zihuatanejo de azueta-pantla,100,zihuatanejo de azueta-pantla
san miguel totolapan-la comunidad,100,san miguel totolapan-la comunidad
teloloapan-tianquizolco ixticapan,100,teloloapan-tianquizolco ixticapan
teloloapan-tenantitlan,100,teloloapan-tenantitlan
juan r. escudero-el puente (san jose del puente),100,juan r. escudero-el puente (san jose del puente)
teloloapan-totoltepec,100,teloloapan-totoltepec
teloloapan-cruz blanca,100,teloloapan-cruz blanca
teloloapan-las ceibas,100,teloloapan-las ceibas
huamuxtitlan-huamuxtitlan,100,huamuxtitlan-huamuxtitlan
cuetzala del progreso-michapa,100,cuetzala del progreso-michapa
teloloapan-alcholoa,100,teloloapan-alcholoa
teloloapan-san antonio ahuehuepan,100,teloloapan-san antonio ahuehuepan
zitlala-astillero,100,zitlala-astillero
coahuayutla de jose maria izazaga-la vainilla,100,coahuayutla de jose maria izazaga-la vainilla
tecoanapa-el tejoruco (tejoruco),100,tecoanapa-el tejoruco (tejoruco)
san miguel totolapan-coronilla,100,san miguel totolapan-coronilla
petatlan-las palmitas,100,petatlan-las palmitas
tecoanapa-san juan las palmas,100,tecoanapa-san juan las palmas
coahuayutla de jose maria izazaga-matamoros,100,coahuayutla de jose maria izazaga-matamoros
san miguel totolapan-las mesas i,100,san miguel totolapan-las mesas i
