KEY_benef_mun,best_match,match_score,CVE_ENT,Entidad_inegi,CVE_MUN,Municipio_inegi,KEY_inegi_municipio
tlaxcala-zacatelco,tlaxcala-zacatelco,100,29,Tlaxcala,44,Zacatelco,tlaxcala-zacatelco
morelos-temixco,morelos-temixco,100,17,Morelos,18,Temixco,morelos-temixco
morelos-cuautla,morelos-cuautla,100,17,Morelos,6,Cuautla,morelos-cuautla
tlaxcala-emiliano zapata,tlaxcala-emiliano zapata,100,29,Tlaxcala,46,Emiliano Zapata,tlaxcala-emiliano zapata
tlaxcala-xaltocan,tlaxcala-xaltocan,100,29,Tlaxcala,40,Xaltocan,tlaxcala-xaltocan
morelos-jojutla,morelos-jojutla,100,17,Morelos,12,Jojutla,morelos-jojutla
morelos-xoxocotla,morelos-xoxocotla,100,17,Morelos,35,Xoxocotla,morelos-xoxocotla
puebla-altepexi,puebla-altepexi,100,21,Puebla,13,Altepexi,puebla-altepexi
puebla-los reyes de juarez,puebla-los reyes de juarez,100,21,Puebla,118,Los Reyes de Juárez,puebla-los reyes de juarez
tlaxcala-espanita,tlaxcala-espanita,100,29,Tlaxcala,12,Españita,tlaxcala-espanita
puebla-xochitlan todos santos,puebla-xochitlan todos santos,100,21,Puebla,203,Xochitlán Todos Santos,puebla-xochitlan todos santos
morelos-tetecala,morelos-tetecala,100,17,Morelos,21,Tetecala,morelos-tetecala
puebla-aljojuca,puebla-aljojuca,100,21,Puebla,12,Aljojuca,puebla-aljojuca
tlaxcala-santa catarina ayometla,tlaxcala-santa catarina ayometla,100,29,Tlaxcala,58,Santa Catarina Ayometla,tlaxcala-santa catarina ayometla
morelos-totolapan,morelos-totolapan,100,17,Morelos,27,Totolapan,morelos-totolapan
puebla-san salvador huixcolotla,puebla-san salvador huixcolotla,100,21,Puebla,144,San Salvador Huixcolotla,puebla-san salvador huixcolotla
puebla-san nicolas de los ranchos,puebla-san nicolas de los ranchos,100,21,Puebla,138,San Nicolás de los Ranchos,puebla-san nicolas de los ranchos
morelos-zacualpan de amilpas,morelos-zacualpan de amilpas,100,17,Morelos,32,Zacualpan de Amilpas,morelos-zacualpan de amilpas
morelos-emiliano zapata,morelos-emiliano zapata,100,17,Morelos,8,Emiliano Zapata,morelos-emiliano zapata
tlaxcala-lazaro cardenas,tlaxcala-lazaro cardenas,100,29,Tlaxcala,47,Lázaro Cárdenas,tlaxcala-lazaro cardenas
puebla-nicolas bravo,puebla-nicolas bravo,100,21,Puebla,103,Nicolás Bravo,puebla-nicolas bravo
tlaxcala-yauhquemehcan,tlaxcala-yauhquemehcan,100,29,Tlaxcala,43,Yauhquemehcan,tlaxcala-yauhquemehcan
puebla-ocoyucan,puebla-ocoyucan,100,21,Puebla,106,Ocoyucan,puebla-ocoyucan
morelos-tlalnepantla,morelos-tlalnepantla,100,17,Morelos,23,Tlalnepantla,morelos-tlalnepantla
puebla-santo tomas hueyotlipan,puebla-santo tomas hueyotlipan,100,21,Puebla,151,Santo Tomás Hueyotlipan,puebla-santo tomas hueyotlipan
morelos-miacatlan,morelos-miacatlan,100,17,Morelos,15,Miacatlán,morelos-miacatlan
morelos-atlatlahucan,morelos-atlatlahucan,100,17,Morelos,2,Atlatlahucan,morelos-atlatlahucan
tlaxcala-san pablo del monte,tlaxcala-san pablo del monte,100,29,Tlaxcala,25,San Pablo del Monte,tlaxcala-san pablo del monte
tlaxcala-papalotla de xicohtencatl,tlaxcala-papalotla de xicohtencatl,100,29,Tlaxcala,41,Papalotla de Xicohténcatl,tlaxcala-papalotla de xicohtencatl
puebla-mixtla,puebla-mixtla,100,21,Puebla,97,Mixtla,puebla-mixtla
puebla-tochtepec,puebla-tochtepec,100,21,Puebla,189,Tochtepec,puebla-tochtepec
tlaxcala-san lorenzo axocomanitla,tlaxcala-san lorenzo axocomanitla,100,29,Tlaxcala,54,San Lorenzo Axocomanitla,tlaxcala-san lorenzo axocomanitla
tlaxcala-tlaxcala,tlaxcala-tlaxcala,100,29,Tlaxcala,33,Tlaxcala,tlaxcala-tlaxcala
puebla-tepanco de lopez,puebla-tepanco de lopez,100,21,Puebla,161,Tepanco de López,puebla-tepanco de lopez
